title_spec,title_program,hour,price,date,linkNmo
Акушерское дело,Акушерское дело,36,2448,21.03.2022,https://clck.ru/337PN3
Акушерское дело,Современные аспекты акушерской помощи в родовспомогательных учреждениях,36,2448,,https://clck.ru/337PP3
Акушерское дело,Акушерское дело: актуальные вопросы и инновационные решения,74,5032,21.03.2022,https://clck.ru/337PQH
Акушерское дело,Акушерское дело,144,9792,21.03.2022,https://clck.ru/337PR4
Акушерское дело,Современные аспекты акушерской помощи в родовспомогательных учреждениях,144,9792,,https://clck.ru/337PPN
Акушерское дело,Современные аспекты акушерской помощи в родовспомогательных учреждениях,288,19584,21.03.2022,https://clck.ru/337PPi
Акушерское дело,Акушерское дело,288,19584,21.03.2022,https://clck.ru/337PRN
Акушерское дело,Охрана здоровья женщины,144,9792,07.07.2022,https://clck.ru/337PRi
Анестезиология и реаниматология,Анестезиология и реаниматология,36,2448,06.04.2022,https://clck.ru/337PSf
Анестезиология и реаниматология,Сестринское дело в анестезиологии и реаниматологии,72,4896,,https://clck.ru/337PUh
Анестезиология и реаниматология,Анестезиология и реаниматология: актуальные вопросы и инновационные решения,74,5032,,https://clck.ru/337PT7
Анестезиология и реаниматология,Анестезиология и реаниматология,144,9792,,https://clck.ru/337PTn
Анестезиология и реаниматология,Анестезиология и реаниматология,288,19584,06.04.2022,https://clck.ru/337PTu
"Анестезиология и реаниматология
(Сестринское дело)",Сестринское дело в анестезиологии и реаниматологии,36,2448,,https://clck.ru/337Pez
"Бактериология
(Лабораторная диагностика)",Бактериология: актуальные проблемы и инновационные решения,144,9792,,https://clck.ru/337PgH
Бактериология,Бактериология,288,19584,06.09.2022,https://clck.ru/337Pgf
Бактериология,Бактериология,144,9792,06.09.2022,https://clck.ru/337Ph6
Бактериология,Бактериология,36,2448,06.09.2022,https://clck.ru/337PhS
Бактериология,Бактериология: актуальные вопросы и инновационные решения,74,5032,14.09.2022,https://clck.ru/337Pht
Гигиеническое воспитание,Организация санитарного просвещения,36,2448,,https://clck.ru/337PiS
Гигиеническое воспитание,Гигиеническое воспитание,36,2448,31.03.2022,https://clck.ru/337Pj9
Гигиеническое воспитание,Гигиеническое воспитание: актуальные вопросы и инновационные решения,74,5032,31.03.2022,https://clck.ru/337Pjj
Гигиеническое воспитание,Гигиеническое воспитание,288,19584,31.03.2022,https://clck.ru/337Pkj
Гигиена и санитария,Современные вопросы гигиены труда,36,2448,,https://clck.ru/337Pmo
Гигиена и санитария,Пищевые токсикоинфекции и их профилактика,144,9792,12.08.2022,https://clck.ru/337PnN
Гигиена и санитария,Гигиена и санитария: актуальные вопросы и инновационные решения,74,5032,21.03.2022,https://clck.ru/337Pnw
Гигиена и санитария,Гигиена и санитария,144,9792,21.03.2022,https://clck.ru/337PoY
Гигиена и санитария,Гигиена и санитария,288,19584,07.07.2022,https://clck.ru/337Pok
"Гигиена и санитария
(Медико-профилактическое дело)",Гигиена и санитария,36,2448,07.07.2022,https://clck.ru/337Pp3
Гистология,Гистология,36,2448,06.09.2022,https://clck.ru/337Ppr
Гистология,Гистология,144,9792,06.09.2022,https://clck.ru/337PqC
Гистология,Гистология,288,19584,06.09.2022,https://clck.ru/337PqV
Гистология,Гистология: актуальные вопросы и инновационные решения,74,5032,06.09.2022,https://clck.ru/337PrG
Дезинфекционное дело,Дезинфекционное дело,36,2448,12.05.2022,https://clck.ru/337Pst
Дезинфекционное дело,Организация дезинфекционного дела,36,2448,16.03.2021,https://clck.ru/337Pup
Дезинфекционное дело,Дезинфекционное дело: актуальные вопросы и инновационные решения,74,5032,12.05.2022,https://clck.ru/337PtL
Дезинфекционное дело,Дезинфекционное дело,144,9792,12.05.2022,https://clck.ru/337Pti
Дезинфекционное дело,Дезинфекционное дело,288,19584,12.05.2022,https://clck.ru/337PuJ
Дезинфекционное дело,Дезинфекционное дело,288,19584,12.05.2022,
Диетология,Диетология,36,2448,,https://clck.ru/337Pvj
Диетология,Диетология,144,9792,,https://clck.ru/337Pwj
Диетология,Диетология,144,9792,08.09.2022,https://clck.ru/337PwS
Диетология,Диетология: актуальные вопросы и инновационные решения,74,5032,08.092022,https://clck.ru/337Px4
Лабораторная диагностика,Лабораторная диагностика,36,2448,11.04.2022,https://clck.ru/337Pxt
Лабораторная диагностика,Современные методы клинических исследований в лабораторной диагностике,36,2448,,https://clck.ru/337Pzh
Лабораторная диагностика,Лабораторная диагностика: актуальные вопросы и инновационные решения,74,5032,,https://clck.ru/337Q2N
Лабораторная диагностика,Лабораторное дело в гигиене труда,144,9792,,https://clck.ru/337Q37
Лабораторная диагностика,Современные физико-химические методы,144,9792,,https://clck.ru/337Q6Q
Лабораторная диагностика,Современные методы клинических исследований в лабораторной диагностике,144,9792,,https://clck.ru/337Q7n
Лабораторная диагностика,Гистологические методы исследований в патологоанатомических отделениях и прозекторских,144,9792,,https://clck.ru/337Q8Y
Лабораторная диагностика,Лабораторная диагностика,144,9792,11.04.2022,https://clck.ru/337Pz8
Лабораторная диагностика,Лабораторная диагностика,288,19584,11.04.2022,https://clck.ru/337QAA
Лабораторная диагностика,"Лабораторная диагностика особо опасных инфекций: чума, холера, брюшной тиф",144,9792,27.07.2022,https://clck.ru/337Pz8
Лабораторная диагностика,Методология отбора проб в санитарно-химических исследованиях,144,9792,18.08.2022,https://clck.ru/337QBB
Лабораторная диагностика,Методы микробиологической диагностики острых кишечных инфекций,144,9792,17.08.2022,https://clck.ru/337QBx
Лабораторное дело (Медико-профилактическое дело),Лабораторное дело,36,2448,07.09.2022,https://clck.ru/337QEk
Лабораторное дело (Медико-профилактическое дело),Лабораторное дело,144,9792,07.09.2022,https://clck.ru/337QFb
Лабораторное дело (Медико-профилактическое дело),Лабораторное дело: актуальные вопросы и инновационные решения,74,5032,07.09.2022,https://clck.ru/337QJV
